,name,code,credit,quota,campus,classroom
818,聖經與人生,0AUG442,2,50,公館,理圖002
819,泰語（一）,0HUG509,2,55,本部,樸306
820,音樂鑑賞,01UG004,2,60,本部,綜210展覽廳
821,文明的探索,04UG003,2,55,本部,正301
822,運算思維與程式設計,05UG016,2,55,公館,理圖801
823,文學、電影中的情感經驗,0AUG229,2,48,本部,誠105
824,大腦中的語言：心理語言學入門,0HUG450,2,60,本部,誠304
825,大學入門,0SUG532,2,100,公館,Ｂ103
826,印尼語（一）,0HUG653,2,55,本部,正201
827,試算表進階應用與程式設計,05UG021,2,55,本部,教401
828,試算表與商務資料分析,05UG028,2,55,公館,理圖801
829,人生哲學與批判性思考,02UG010,2,70,公館,理圖001
830,憲法與人權,03UG006,2,99,本部,誠301
831,星星月亮太陽－天文漫談,06UG004,2,137,公館,Ｅ202
832,科技與社會,05UG009,2,60,公館,理圖002
833,現代醫學,06UG032,2,50,公館,理圖002
834,運算思維與程式設計,05UG016,2,55,公館,理圖801
835,心理學,0AUG402,2,50,本部,正201
836,大學入門,0SUG526,2,60,本部,特112
837,大學入門,0SUG535,2,60,本部,設計系2A教室
838,大學入門,0SUG531,2,55,本部,誠107
839,大學入門,0SUG531,2,60,本部,誠201
840,大學入門,0SUG526,2,100,本部,誠102
841,文本分析與程式設計,05UG023,2,55,本部,教402
842,大學入門,0SUG535,2,60,本部,美401
843,運算思維與程式設計,05UG016,2,55,公館,理圖801
844,心理學,0AUG402,2,50,本部,樸202
845,臺灣歷史與電影,04UG013,2,100,本部,誠201
846,中國社會生活史,04UG001,2,55,本部,正301
847,運動鑑賞,0AUG485,2,55,本部,誠205
848,行動App程式設計,05UG019,2,55,本部,教402
849,人生哲學與批判性思考,02UG010,2,65,本部,誠108
850,《楚辭‧九歌》與神話、巫風,04UG029,2,76,本部,誠109
851,中國經典文學閱讀：古典與現代,0HUG248,2,65,本部,誠302
852,科學思維,05UG002,2,75,本部,誠109
853,聯合國永續發展目標,06UG030,2,50,公館,理圖003
854,日本美術鑑賞,01UG027,2,55,本部,誠108
855,國際關係導論,0SUG238,2,55,本部,正202
856,法語（一）,0HUG502,2,55,本部,正301
857,博物館探索,0SUG514,2,60,本部,誠301
858,生物哲學導論,02UG015,2,60,公館,理圖002
859,佛學中的人生智慧,02UG019,2,80,本部,誠202
860,科學的語言,05UG010,2,55,本部,正202
861,中國哲人的生命與心靈,02UG007,2,60,本部,誠208
862,音樂概論,0AUG203,2,85,本部,音308
863,運動數據分析與程式設計,05UG026,2,55,公館,理圖801
864,環境倫理與永續發展,06UG006,2,60,公館,理圖001
865,學習與生活中的腦科學,06UG018,2,60,公館,理圖001
866,亞裔美國文學與電影的藝術形式,01UG011,2,75,本部,誠203
867,科技倫理,05UG011,2,70,本部,誠109
868,文學與藝術,0AUG215,2,60,本部,正303
869,環境與傳播,03UG024,2,120,公館,Ｓ102
870,東南亞文化與歷史概略,04UG033,2,46,本部,誠105
871,馬來語 （一）,0HUG655,2,50,本部,誠205
872,臺灣流行文化,03UG012,2,133,本部,誠101
873,大學入門,0SUG534,2,55,本部,樸205
874,心理學,0AUG402,2,50,本部,正203
875,大學入門,0SUG526,2,60,本部,教310
876,近代歐洲插畫裡的中國圖像,04UG017,2,55,本部,正202
877,邏輯思考與應用,05UG001,2,55,本部,正202
878,大學入門,0SUG538,2,60,本部,誠109
879,大學入門,0SUG531,2,70,本部,誠307
880,生理心理學,0NUG246,2,150,公館,Ｅ102
881,學程式玩音樂,05UG022,2,60,本部,教402
882,現代公民與法律,03UG005,2,100,本部,誠102
883,臺灣文史與城市發展,04UG024,2,65,本部,誠301
884,西班牙語（一）,0HUG503,2,50,本部,正203
885,韓語（一）,0HUG506,2,55,公館,理圖001
886,個人投資理財,0AUG462,2,180,本部,誠101
887,臺灣教育,0SUG528,2,54,本部,誠104
888,奈米科技,06UG005,2,210,本部,教201演講廳
889,資訊科技與生活,06UG012,2,54,本部,誠104
890,宇宙中的生命與太空環境,06UG021,2,127,公館,Ｅ302
891,日語（一）,0HUG501,2,60,本部,誠109
892,哲學入門,02UG001,2,95,本部,誠301
893,大學入門,0SUG531,2,55,本部,正202
894,音樂與戲劇,01UG033,2,60,本部,音308
895,邏輯思考與應用,05UG001,2,155,本部,誠101
896,運算思維與程式設計,05UG016,2,55,本部,教401
897,心理學,0AUG402,2,50,本部,樸306
898,２０世紀動盪時局下的知識份子,04UG023,2,50,本部,正301
899,文學與電影,01UG021,3,70,本部,誠208
900,日語（二）,0HUG652,2,50,公館,理圖003
901,臺灣歷史與文化,04UG015,2,55,本部,正301
902,現代民主政治,03UG002,2,50,公館,理圖002
903,越南語（一）,0HUG649,2,50,本部,誠109
904,大學入門,0SUG532,2,60,公館,Ｂ102
905,統計學,05UG020,2,110,本部,教201演講廳
906,大學入門,0SUG536,2,60,本部,綜202演講廳
1015,體育教材教法（教）,PEUE101,2,60,本部,體001
1024,體育教學實習（二）（教）,PEUE210,2,60,本部,正102
1084,公民與社會（公民）教材教法（教）,CEUE002,2,60,本部,童技室
1103,公民與社會（公民）教學實習（教）,CEUE011,2,60,本部,童技室
1172,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,公館,Ｓ402
1173,中文閱讀與思辨,00UA7A4,2,40,本部,誠208
1174,英文（一）,00UB7A4,2,35,本部,樸407
1175,英文（一）,00UB7A3,2,35,本部,正202
1176,中文閱讀與思辨,00UA7A3,2,40,公館,Ｓ202
1177,英文（一）,00UB7A2,2,35,公館,Ｓ201
1178,中文閱讀與思辨,00UA7A6,2,40,公館,Ｓ403
1179,英文（一）,00UB7A1,2,35,本部,誠204
1180,英文（一）,00UB7A5,2,35,本部,樸202
1181,中文閱讀與思辨,00UA7A4,2,40,本部,正105
1182,英文（一）,00UB7A4,2,35,本部,樸407
1183,中文閱讀與思辨,00UA7A7,2,40,本部,誠105
1184,英文（一）,00UB7A3,2,35,公館,Ｓ304
1185,英文（一）,00UB7A4,2,35,本部,樸407
1186,中文閱讀與思辨,00UA7A3,2,40,本部,正205
1187,英文（三）：教育英文,00UB9B1,2,35,本部,樸202
1188,中文閱讀與思辨,00UA7A6,2,40,本部,誠106
1189,英文（三）：藝術英文,00UB9D2,2,35,本部,正403
1190,中文閱讀與思辨,00UA7A2,2,40,公館,Ｓ501
1191,中文閱讀與思辨,00UA7A2,2,40,公館,Ｓ502
1192,中文閱讀與思辨,00UA7A6,2,40,本部,誠105
1193,英文（一）,00UB7A2,2,35,公館,Ｓ203
1194,中文閱讀與思辨,00UA7A3,2,40,本部,正406
1195,英文（一）,00UB7A4,2,35,本部,正303
1196,英文（一）,00UB7A3,2,35,公館,Ｓ401
1197,英文（一）,00UB7A4,2,35,本部,正203
1198,中文閱讀與思辨,00UA7A4,2,40,本部,正205
1199,英文（三）：運動英文,00UB9E2,2,35,本部,正405
1200,英文（三）：科技英文,00UB9C1,2,35,公館,Ｓ202
1201,中文閱讀與思辨,00UA7A5,2,40,本部,樸301
1202,英文（一）,00UB7A1,2,35,本部,誠204
1203,英文（一）,00UB7A2,2,35,本部,正203
1204,中文閱讀與思辨,00UA7A6,2,40,本部,正405
1205,英文（一）,00UB7A3,2,35,本部,正301
1206,英文（一）,00UB7A4,2,35,本部,誠205
1207,中文閱讀與思辨,00UA7A4,2,35,本部,正404
1208,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,公館,Ｓ402
1209,中文閱讀與思辨,00UA7A5,2,40,本部,誠106
1210,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,本部,樸205
1211,英文（一）,00UB7A1,2,35,本部,樸202
1212,中文閱讀與思辨,00UA7A1,2,40,公館,Ｓ204
1213,中文閱讀與思辨,00UA7A4,2,40,本部,誠107
1214,英文（一）,00UB7A3,2,35,公館,Ｓ401
1215,英文（三）：文學與文化,00UB9A1,2,35,公館,Ｓ203
1216,中文閱讀與思辨,00UA7A6,2,40,本部,正406
1217,英文（一）,00UB7A2,2,35,本部,正201
1218,中文閱讀與思辨,00UA7A2,2,40,公館,Ｓ503
1219,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,公館,Ｓ402
1220,中級華語（一）,00UA760,2,30,本部,誠204
1221,英文（三）：社會科學英文,00UB9M1,2,35,公館,Ｓ404
1222,英文（一）,00UB7A4,2,35,本部,樸402
1223,英文（一）,00UB7A3,2,35,本部,正201
1224,英文（一）,00UB7A2,2,35,本部,正201
1225,基礎華語（一）,00UA744,2,30,本部,誠204
1226,英文（三）：商用英文,00UB9H1,2,35,本部,正201
1227,英文（一）,00UB7A2,2,35,本部,正204
1228,英文（三）：科學英文,00UB9L1,2,35,本部,正203
1229,英文（一）,00UB7A3,2,35,本部,誠205
1230,英文（一）,00UB7A4,2,35,公館,Ｓ306
1231,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,本部,樸402
1232,中文閱讀與思辨,00UA7A2,2,36,公館,Ｓ506
1233,中文閱讀與思辨,00UA7A6,2,40,本部,正306
1234,英文（一）,00UB7A2,2,35,本部,正204
1235,中文閱讀與思辨,00UA7A3,2,40,本部,正404
1236,英文（一）,00UB7A4,2,35,公館,Ｓ202
1237,英文（一）,00UB7A3,2,35,公館,Ｓ303
1238,英文（一）,00UB7A4,2,35,公館,Ｓ403
1239,中文閱讀與思辨,00UA7A4,2,40,本部,誠105
1240,中文閱讀與思辨,00UA7A5,2,40,本部,樸402
1241,英文（一）,00UB7A1,2,35,本部,樸202
1242,中文閱讀與思辨,00UA7A2,2,40,公館,Ｓ504
1243,中文閱讀與思辨,00UA7A6,2,40,本部,正304
1244,英文（一）,00UB7A2,2,35,公館,Ｓ301
1245,英文（三）：教育英文,00UB9B1,2,35,本部,勤302
1246,中文閱讀與思辨,00UA7A3,2,40,本部,誠205
1247,英文（三）：文學與文化,00UB9A1,2,35,本部,正204
1248,英文（一）,00UB7A4,2,35,公館,Ｓ404
1249,中文閱讀與思辨,00UA7A1,2,40,公館,Ｓ502
1250,中文閱讀與思辨,00UA7A5,2,40,本部,正105
1251,英文（一）,00UB7A1,2,35,公館,Ｓ202
1252,英文（一）,00UB7A2,2,35,公館,Ｓ201
1253,英文（三）：科學英文,00UB9L1,2,35,公館,Ｓ403
1254,英文（一）,00UB7A3,2,35,本部,誠205
1255,英文（一）,00UB7A4,2,35,本部,正206
1256,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,本部,正404
1257,中文閱讀與思辨,00UA7A5,2,40,公館,Ｓ403
1258,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,本部,正404
1259,英文（三）：社會科學英文,00UB9M1,2,35,公館,Ｓ303
1260,英文（一）,00UB7A4,2,35,本部,正301
1261,英文（一）,00UB7A3,2,35,本部,正204
1262,英文（一）,00UB7A2,2,35,本部,正203
1263,英文（三）：商用英文,00UB9H1,2,35,本部,正201
1264,中文閱讀與思辨,00UA7A5,2,40,本部,樸206
1265,英文（一）,00UB7A2,2,35,本部,正202
1266,英文（三）：藝術英文,00UB9D1,2,35,本部,正203
1267,中文閱讀與思辨,00UA7A1,2,40,公館,Ｓ501
1268,中文閱讀與思辨,00UA7A4,2,40,本部,正106
1269,英文（一）,00UB7A4,2,35,公館,Ｓ403
1270,中文閱讀與思辨,00UA7A7,2,40,公館,Ｓ201
1271,英文（一）,00UB7A3,2,35,公館,Ｓ304
1272,英文（三）：文學與文化,00UB9A1,2,35,公館,Ｓ202
1273,中文閱讀與思辨,00UA7A3,2,40,本部,誠105
1274,英文（三）：教育英文,00UB9B1,2,35,本部,勤302
1275,英文（一）,00UB7A2,2,35,本部,正202
1276,中文閱讀與思辨,00UA7A2,2,70,公館,理圖003
1277,英文（一）,00UB7A2,2,35,本部,正202
1278,英文（三）：人文領域探索,00UB9O1,2,35,本部,誠205
1279,中文閱讀與思辨,00UA7A3,2,40,本部,樸306
1280,英文（一）,00UB7A3,2,35,本部,正204
1281,英文（一）,00UB7A4,2,35,本部,樸203
1282,中文閱讀與思辨,00UA7A4,2,35,本部,正405
1283,高級華語（一）,00UA761,2,30,本部,誠205
1284,中文閱讀與思辨,00UA7A6,2,40,本部,樸402
1285,英文（一）,00UB7A2,2,35,公館,Ｓ203
1286,英文（三）：教育英文,00UB9B1,2,35,本部,正404
1287,中文閱讀與思辨,00UA7A3,2,40,本部,誠305
1288,英文（一）,00UB7A4,2,35,本部,正206
1289,中文閱讀與思辨,00UA7A7,2,40,公館,Ｓ201
1290,英文（一）,00UB7A3,2,35,本部,樸402
1291,英文（一）,00UB7A4,2,35,公館,Ｓ404
1292,中文閱讀與思辨,00UA7A4,2,40,本部,正406
1293,中文閱讀與思辨,00UA7A1,2,40,公館,Ｓ504
1294,英文（三）：運動英文,00UB9E2,2,35,本部,正405
1295,英文（三）：科技英文,00UB9C1,2,35,本部,誠701B
1296,中文閱讀與思辨,00UA7A5,2,40,本部,正106
1297,中文閱讀與思辨,00UA7A5,2,40,本部,正406
1298,中文閱讀與思辨,00UA7A1,2,40,公館,Ｓ503
1299,英文（一）,00UB7A5,2,35,公館,Ｓ303
1300,中文閱讀與思辨,00UA7A4,2,40,本部,樸306
1301,英文（三）：文學與文化,00UB9A2,2,35,本部,正401
1302,英文（一）,00UB7A4,2,35,本部,誠204
1303,中文閱讀與思辨,00UA7A7,2,40,本部,誠105
1304,英文（一）,00UB7A3,2,35,本部,正301
1305,英文（一）,00UB7A4,2,35,公館,Ｓ306
1306,英文（三）：文學與文化,00UB9A1,2,35,本部,正401
1307,中文閱讀與思辨,00UA7A3,2,40,本部,正405
1308,英文（三）：教育英文,00UB9B1,2,35,本部,誠204
1309,中文閱讀與思辨,00UA7A6,2,40,本部,誠104
1310,英文（一）,00UB7A2,2,35,公館,Ｓ302
1311,英文（三）：藝術英文,00UB9D2,2,35,本部,正403
1312,中文閱讀與思辨,00UA7A2,2,40,公館,Ｓ204
1313,英文（三）：學術英文寫作與口語表達,00UB9N1,2,35,公館,Ｓ402
1314,初級華語（一）,00UA759,2,30,本部,誠204
1315,英文（三）：商用英文,00UB9H2,2,35,公館,Ｓ302
1316,中文閱讀與思辨,00UA7A4,2,40,公館,Ｓ202
1317,英文（一）,00UB7A4,2,35,本部,誠204
1318,英文（一）,00UB7A3,2,35,本部,正201
1319,中文閱讀與思辨,00UA7A3,2,40,本部,誠208
1320,英文（一）,00UB7A2,2,35,本部,正203
1455,機械群教學實習（二）（教）,MTUE310,2,36,本部,機電302會議室
1459,機械群教材教法（教）,MTUE101,2,36,本部,機電302會議室
1506,英語教材教法（教）,ENUE001,2,60,本部,正305
1543,英語教學實習（一）（教）,ENUE110,2,60,本部,正303
1565,臺語教材教法（教）,TCUE001,2,60,本部,誠304
1623,設計群教材教法（教）,GCUE101,2,60,本部,視聽教室
1629,設計群教學實習（一）（教）,GCUE310,2,60,本部,視聽教室
1688,國文教學實習（一）（教）,CHUE110,2,40,本部,樸306
1696,學習評量（教）,CHUE074,2,60,本部,國文學系微型教室
1705,教育議題專題（教）,CHUE311,2,60,本部,樸303
1710,國文教學實習（一）（教）,CHUE110,2,40,本部,樸305
1769,化學教材教法（一）（教）,CMUE101,1,60,公館,Ｃ105
1883,地球科學教學實習（一）（教）,ESUE110,2,60,公館,科教大樓101
1906,地球科學教材教法（教）,ESUE001,2,60,公館,科教大樓101
2024,生物教學實習（一）（教）,BIUE110,2,60,公館,Ｓ306
2045,生物教材教法（教）,BIUE001,2,60,公館,Ｓ306
2149,體育教材教法（教）,PEUE101,2,60,公館,Ｓ501
2152,體育教學實習（二）（教）,PEUE210,2,60,公館,Ｓ101
2187,健康教育（健康與護理）教學實習（教）,HEUE110,2,60,本部,誠602
2202,港台經商政治與社會文化,PGUA024,3,60,本部,綜508會議室
2203,經濟學,PGUA006,3,60,本部,誠102
2204,財務管理,PGUA003,3,50,本部,正105
2205,企業概論,PGUA001,3,60,本部,誠302
2206,管理學,PGUB005,3,60,本部,誠203
2428,音樂教學實習（一）（教）,MUUE110,2,60,本部,音210
2634,資賦優異學生教材教法（二）（資優）,00UEG04,2,41,本部,特113
2635,資源教室方案與經營（資優）,00UEG16,2,55,本部,特115
2636,教育議題專題（教）,00UE325,2,60,本部,誠107
2637,課程發展與設計（IB）,IBUE001,3,60,本部,樸301
2638,資優教育概論（教）,00UE073,2,12,本部,特115
2639,健康與體育領域探究與實作（教）,00UE110,2,60,本部,正103
2640,教育政策與法令（教）,00UE099,2,60,公館,Ｓ407
2641,職業教育與訓練暨生涯規劃（教）,00UE102,1,54,本部,誠402
2642,教育心理學（教）,00UE002,2,60,本部,教511
2643,教學媒體與運用（教）,00UE076,2,60,公館,理圖801
2644,資賦優異教學實務（資優）,00UEG25,2,24,本部,特116
2645,雙語教育概論（教）,00UEB03,2,60,本部,正106
2646,教育哲學（教）,00UE003,2,60,本部,樸301
2647,學習評量（教）,00UE074,2,60,本部,誠304
2648,雙語教材教法（教）,00UEB01,2,60,本部,誠304
2649,教學原理（教）,00UE005,2,60,本部,樸401
2650,教師專業發展（教）,00UE080,2,60,本部,正202
2651,教育概論（教）,00UE001,2,60,本部,教9樓綜合教室
2652,輔導原理與實務（教）,00UE008,2,60,本部,誠208
2653,教育議題專題（教）,00UE311,2,60,本部,教310
2654,課程發展與設計（教）,00UE075,2,48,本部,誠106
2655,教學原理（教）,00UE005,2,60,本部,樸301
2656,學習評量（教）,00UE074,2,60,本部,正103
2657,雙語教材教法（教）,00UEB01,2,60,本部,樸301
2659,教育哲學（教）,00UE003,2,60,本部,誠305
2660,資優學生親職教育（資優）,00UEG11,2,30,本部,特112
2661,教學媒體與運用（教）,00UE076,2,60,本部,教401
2662,特殊教育導論（教）,00UE059,3,50,本部,樸301
2663,教育政策與法令（教）,00UE099,2,60,本部,誠205
2664,教育史（教）,00UE036,2,60,本部,教310
2665,現代教育思潮（教）,00UE037,2,60,本部,樸401
2666,教學媒體與運用（教）,00UE076,2,60,本部,教401
2667,實地學習（三）（教）,00UE086,0,60,,
2668,教育哲學（教）,00UE003,2,60,本部,誠305
2669,教育社會學（教）,00UE004,2,60,本部,誠107
2670,教學原理（教）,00UE005,2,48,本部,正101
2671,課程發展與設計（教）,00UE075,2,54,本部,誠104
2672,輔導原理與實務（教）,00UE008,2,60,本部,教育學院第1會議室
2673,教育概論（教）,00UE001,2,60,本部,教802
2674,教師素養（教）,00UE079,2,48,本部,誠106
2675,創造力教育（資優）,00UEG07,2,20,本部,特115
2676,特殊教育導論（資優）,00UEG19,3,15,本部,樸301
2677,教育政策與法令（教）,00UE099,2,60,本部,樸401
2678,教育概論（教）,00UE001,2,60,本部,教9樓綜合教室
2679,實地學習（一）（教）,00UE084,0,60,,
2680,特殊教育行政與法規（資優）,00UEG17,2,15,本部,特114演講廳
2681,教學原理（教）,00UE005,2,54,本部,誠104
2682,實地學習（B）（教）,00UE088,0,60,,
2683,學習評量（教）,00UE074,2,55,本部,誠107
2684,教育議題專題（教）,00UE321,2,60,本部,誠107
2685,雙語教學應用與實作（教）,00UEB02,1,60,本部,樸301
2686,教育哲學（教）,00UE003,2,60,本部,樸301
2687,教學媒體與運用（教）,00UE076,2,60,本部,教401
2688,青少年心理學（教）,00UE018,2,60,本部,教513
2689,教育心理學（教）,00UE002,2,60,本部,誠205
2690,班級經營（教）,00UE006,2,60,本部,誠108
2691,數學適性教學（教）,00UE093,2,60,公館,數學館M212
2692,輔導原理與實務（教）,00UE008,2,60,公館,Ｓ601
2693,課程發展與設計（教）,00UE075,2,60,本部,樸301
2695,教育社會學（教）,00UE004,2,60,本部,正204
2696,議題融入資優教育教學設計（資優）,00UEG24,2,35,本部,特113
2697,雙語教學應用與實作（教）,00UEB02,1,60,本部,樸301
2698,教育哲學（教）,00UE003,2,60,本部,教312
2699,教學媒體與運用（教）,00UE076,2,60,本部,教402
2700,特殊教育導論（教）,00UE059,3,50,本部,特103
2701,職業教育與訓練暨生涯規劃（教）,00UE102,1,60,本部,正205
2702,教育心理學（教）,00UE002,2,60,本部,樸301
2703,青少年心理學（教）,00UE018,2,80,本部,教育學院第1會議室
2704,班級經營（教）,00UE006,2,60,本部,誠108
2705,特殊教育導論（資優）,00UEG19,3,10,本部,特112
2706,教育行政（教）,00UE011,2,60,本部,誠107
2707,教育行動研究（教）,00UE101,2,60,本部,樸301
2708,雙語數學教材教法（教）,00UEB05,2,60,公館,數學館M210
2709,特殊教育教學實習（一）（資優）,00UEG01,2,46,本部,特103
2710,創造力教育（資優）,00UEG07,2,35,本部,特115
2711,特殊教育導論（資優）,00UEG19,3,15,本部,誠204
2712,班級經營（教）,00UE006,2,60,公館,Ｓ601
2713,職業教育與訓練暨生涯規劃（教）,00UE102,1,60,公館,Ｓ401
2714,特殊教育導論（教）,00UE059,3,25,本部,特112
2715,教育心理學（教）,00UE002,2,60,本部,誠204
2716,青少年心理學（教）,00UE018,2,60,本部,誠107
2717,資優教育專題研究（資優）,00UEG10,2,35,本部,特112
2718,現代教育思潮（教）,00UE037,2,60,本部,正202
2720,教育社會學（教）,00UE004,2,60,本部,正204
